Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2021);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
769;5600152875;"International Journal of Japanese Sociology";journal;"09187545";0,210;Q3;15;11;27;548;19;25;0,61;49,82;United States;Northern America;"Wiley-Blackwell";"1992-2021";"Sociology and Political Science (Q3)"
770;74283;"Asian Perspective";journal;"02589184";0,209;Q3;22;42;90;2117;67;82;0,72;50,40;United States;Northern America;"Johns Hopkins University Press";"1974, 2005-2021";"Political Science and International Relations (Q3); Sociology and Political Science (Q3); Life-span and Life-course Studies (Q4)"
771;21100886221;"Evaluation Journal of Australasia";journal;"1035719X, 25159372";0,209;Q3;13;19;64;514;27;45;0,33;27,05;United Kingdom;Western Europe;"SAGE Publications Ltd";"2001-2003, 2005-2021";"Development (Q3); Sociology and Political Science (Q3)"
772;21100453516;"Psychology, Society and Education";journal;"1989709X, 21712085";0,209;Q3;9;63;79;2597;60;79;0,75;41,22;Spain;Western Europe;"Universidad de Almeria";"2012, 2015-2021";"Clinical Psychology (Q3); Education (Q3); Sociology and Political Science (Q3); Social Psychology (Q4)"
773;5800169741;"Social Work and Society";journal;"16138953";0,209;Q3;10;20;107;1009;42;105;0,24;50,45;Germany;Western Europe;"University of Bielefeld";"2012-2021";"Social Sciences (miscellaneous) (Q3); Sociology and Political Science (Q3)"
774;36020;"Society and Animals";journal;"15685306, 10631119";0,209;Q3;45;26;191;1046;142;190;0,71;40,23;Netherlands;Western Europe;"Brill Academic Publishers";"1993-2021";"Sociology and Political Science (Q3); Veterinary (miscellaneous) (Q3)"
775;5600152866;"Studia Socjologiczne";journal;"00393371";0,209;Q3;7;37;101;1588;39;98;0,40;42,92;Poland;Eastern Europe;"Polska Akademia Nauk";"2008-2021";"Sociology and Political Science (Q3)"
776;19900192456;"Culture, Theory and Critique";journal;"14735776, 14735784";0,207;Q3;12;23;77;1245;54;71;0,54;54,13;United Kingdom;Western Europe;"Routledge";"2010-2021";"Cultural Studies (Q2); Sociology and Political Science (Q3)"
777;21100942847;"European Journal of Pragmatism and American Philosophy";journal;"20364091";0,207;Q3;2;54;52;1708;17;48;0,33;31,63;Italy;Western Europe;"Associazone culturale Pragma";"2018-2021";"Philosophy (Q2); Sociology and Political Science (Q3); Applied Psychology (Q4)"
778;17600155220;"Geneses";journal;"11553219";0,207;Q3;22;24;121;899;51;119;0,15;37,46;France;Western Europe;"Editions Belin";"2000-2021";"History (Q1); Cultural Studies (Q2); Sociology and Political Science (Q3); Public Administration (Q4)"
779;21100903414;"International Journal of Energy Production and Management";journal;"20563280, 20563272";0,207;Q3;8;28;84;712;74;83;0,89;25,43;United Kingdom;Western Europe;"WITPress";"2016-2021";"Sociology and Political Science (Q3); Energy Engineering and Power Technology (Q4); Global and Planetary Change (Q4); Renewable Energy, Sustainability and the Environment (Q4)"
780;21101034376;"Journal of Time Use Research";journal;"26647958";0,206;Q3;1;0;4;0;5;4;1,25;0,00;Belgium;Western Europe;"";"2020";"Economics, Econometrics and Finance (miscellaneous) (Q3); Sociology and Political Science (Q3)"
781;26962;"Tidsskrift for Samfunnsforskning";journal;"0040716X";0,206;Q3;9;27;95;912;23;93;0,28;33,78;Norway;Western Europe;"Universitetsforlaget AS";"1970, 1976, 1980-1982, 1985, 1987, 1998-1999, 2001-2021";"Social Sciences (miscellaneous) (Q3); Sociology and Political Science (Q3)"
782;21100939681;"eJournal of eDemocracy and Open Government";journal;"20759517";0,205;Q3;18;10;36;524;26;30;0,79;52,40;Austria;Western Europe;"Department for E-Governance and Administration";"2009-2021";"Sociology and Political Science (Q3); Computer Science Applications (Q4)"
783;22273;"Peace Economics, Peace Science and Public Policy";journal;"15548597, 10792457";0,205;Q3;17;20;93;1109;64;89;0,76;55,45;Germany;Western Europe;"Walter de Gruyter GmbH";"1994-1996, 1999-2021";"Political Science and International Relations (Q3); Sociology and Political Science (Q3); Economics and Econometrics (Q4); Management, Monitoring, Policy and Law (Q4)"
784;21100227015;"Studies of Transition States and Societies";journal;"17368758, 1736874X";0,205;Q3;13;5;33;279;29;30;0,24;55,80;Estonia;Eastern Europe;"Tallinn University";"2009-2021";"Sociology and Political Science (Q3)"
785;19700169837;"America Latina Hoy";journal;"11302887";0,204;Q3;8;21;76;949;37;68;0,34;45,19;Spain;Western Europe;"University of Salamanca";"2011-2021";"History (Q1); Sociology and Political Science (Q3)"
786;18032;"Sociologia";journal;"00491225, 13368613";0,204;Q3;14;23;84;1258;36;80;0,43;54,70;Slovakia;Eastern Europe;"Slovak Academy of Sciences - Social Biological Comm";"1998, 2002-2021";"Sociology and Political Science (Q3)"
787;21100899306;"Asian Journal for Public Opinion Research";journal;"22886168";0,203;Q3;4;19;57;638;46;54;1,03;33,58;South Korea;Asiatic Region;"Center for Asian Public Opinion Research and Collaboration Initiative";"2018-2021";"Communication (Q3); Sociology and Political Science (Q3)"
788;5600152872;"Societes Contemporaines";journal;"11501944, 19506899";0,203;Q3;19;39;64;1381;27;60;0,56;35,41;France;Western Europe;"Presses de Sciences Po";"2001-2021";"Sociology and Political Science (Q3)"
789;19600157304;"Southeastern Europe";journal;"00944467, 18763332";0,202;Q3;11;15;48;854;28;45;0,37;56,93;Netherlands;Western Europe;"Brill Academic Publishers";"1976-1980, 1983-1990, 2002, 2005, 2007, 2009-2021";"History (Q1); Cultural Studies (Q2); Political Science and International Relations (Q3); Sociology and Political Science (Q3)"
790;5600152888;"Journal of Genocide Research";journal;"14623528, 14699494";0,201;Q3;29;62;83;0;77;55;0,76;0,00;United Kingdom;Western Europe;"Carfax Publishing Ltd.";"1999-2021";"History (Q1); Law (Q3); Political Science and International Relations (Q3); Sociology and Political Science (Q3)"
791;5700161893;"Revue Internationale de Politique Comparee";journal;"13700731, 17821533";0,201;Q3;12;19;58;1038;15;55;0,18;54,63;Belgium;Western Europe;"Boeck Universite";"2001-2018, 2020-2021";"Political Science and International Relations (Q3); Sociology and Political Science (Q3)"
792;21100862232;"Intersections East European Journal of Society and Politics";journal;"2416089X";0,200;Q3;10;47;94;2160;53;94;0,43;45,96;Hungary;Eastern Europe;"Centre for Social Sciences of the Hungarian Academy of Sciences";"2015-2021";"Law (Q3); Sociology and Political Science (Q3)"
793;21853;"Modern and Contemporary France";journal;"14699869, 09639489";0,200;Q3;13;29;86;1198;26;82;0,32;41,31;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1993-1995, 1997, 1999, 2001, 2009-2021";"History (Q1); Cultural Studies (Q2); Sociology and Political Science (Q3)"
794;21100812553;"Filosofia Theoretica";journal;"22768386, 24085987";0,199;Q3;8;45;70;1329;28;67;0,28;29,53;Nigeria;Africa;"Calabar School of Philosophy (CSP)";"2014-2021";"Religious Studies (Q1); Cultural Studies (Q2); Philosophy (Q2); Sociology and Political Science (Q3)"
795;21100833040;"Geopolitica(s)";journal;"21727155, 21723958";0,199;Q3;4;18;72;628;46;70;0,73;34,89;Spain;Western Europe;"Universidad Complutense Madrid";"2017-2021";"Geography, Planning and Development (Q3); Political Science and International Relations (Q3); Sociology and Political Science (Q3)"
796;21100860693;"Iberoamerica (Russian Federation)";journal;"20759711, 20768400";0,199;Q3;3;36;93;1035;33;93;0,36;28,75;Russian Federation;Eastern Europe;"Institute of Latin American Studies, Russian Academy of Sciences";"2017-2021";"Economics, Econometrics and Finance (miscellaneous) (Q3); Law (Q3); Political Science and International Relations (Q3); Safety Research (Q3); Sociology and Political Science (Q3)"
797;5600153144;"Polis";journal;"11209488";0,199;Q3;13;31;105;1391;33;101;0,33;44,87;Italy;Western Europe;"Societa Editrice Il Mulino";"1990, 1997, 2000-2008, 2010-2021";"Sociology and Political Science (Q3)"
798;21100797848;"Potchefstroom Electronic Law Journal";journal;"17273781";0,198;Q3;7;70;166;4443;42;163;0,24;63,47;South Africa;Africa;"North-West University";"2013-2021";"Law (Q3); Sociology and Political Science (Q3)"
799;21100942928;"Revista de Internet, Derecho y Politica";journal;"16998154";0,198;Q3;3;27;51;795;18;43;0,35;29,44;Spain;Western Europe;"Universitat Oberta de Catalunya";"2019-2021";"Law (Q3); Sociology and Political Science (Q3); Computer Science (miscellaneous) (Q4)"
800;5600153156;"Eastern European Countryside";book series;"12328855";0,197;Q3;8;11;39;388;26;39;0,42;35,27;Germany;Western Europe;"De Gruyter Open Ltd.";"2009-2020";"Geography, Planning and Development (Q3); Sociology and Political Science (Q3)"
801;21100898697;"UUM Journal of Legal Studies";journal;"01279483, 2229984X";0,197;Q3;3;27;42;1144;15;42;0,34;42,37;Malaysia;Asiatic Region;"Universiti Utara Malaysia Press";"2018-2021";"Law (Q3); Sociology and Political Science (Q3)"
802;11600153630;"Innovar";journal;"01215051";0,196;Q3;13;51;131;3282;95;117;0,55;64,35;Colombia;Latin America;"Universidad Nacional de Colombia";"2008-2021";"Sociology and Political Science (Q3); Accounting (Q4); Marketing (Q4); Public Administration (Q4); Strategy and Management (Q4)"
803;25885;"Issues and Studies";journal;"10132511";0,196;Q3;20;16;58;897;29;53;0,58;56,06;Taiwan;Asiatic Region;"World Scientific Publishing Co. Pte Ltd";"1972-1975, 1978, 1980, 1985, 1995-2021";"Political Science and International Relations (Q3); Sociology and Political Science (Q3)"
804;21100902676;"Istoriya";journal;"20798784";0,196;Q3;3;356;987;9555;118;987;0,12;26,84;Russian Federation;Eastern Europe;"Ltd "Integration: Education and Science"";"2018-2021";"History (Q1); Visual Arts and Performing Arts (Q1); History and Philosophy of Science (Q3); Sociology and Political Science (Q3)"
805;5700163717;"Japan Forum";journal;"09555803";0,196;Q3;17;51;103;2681;39;102;0,38;52,57;United Kingdom;Western Europe;"Routledge";"1989-2003, 2005-2021";"History (Q1); Cultural Studies (Q2); Sociology and Political Science (Q3)"
806;21100967061;"Journal for Deradicalization";journal;"23639849";0,196;Q3;5;0;30;0;37;30;1,23;0,00;Germany;Western Europe;"German Institute on Radicalization and De-Radicalization Studies (GIRDS)";"2019";"Political Science and International Relations (Q3); Sociology and Political Science (Q3)"
807;21100912224;"Journal of World-Systems Research";journal;"1076156X";0,196;Q3;4;29;50;1387;36;45;0,72;47,83;United States;Northern America;"University Library System, University of Pittsburgh";"2019-2021";"Political Science and International Relations (Q3); Sociology and Political Science (Q3)"
808;10600153342;"Society and Economy";journal;"1588970X, 15889726";0,196;Q3;13;8;94;394;45;88;0,61;49,25;Hungary;Eastern Europe;"Akademiai Kiado";"2007-2021";"Economics, Econometrics and Finance (miscellaneous) (Q3); Industrial Relations (Q3); Sociology and Political Science (Q3); Business and International Management (Q4); Public Administration (Q4); Strategy and Management (Q4)"
809;21100889702;"Asia Pacific Journal of Information Systems";journal;"22885404, 22886818";0,195;Q3;4;29;101;2012;60;101;0,54;69,38;South Korea;Asiatic Region;"";"2018-2021";"Sociology and Political Science (Q3); Information Systems and Management (Q4)"
810;14600154704;"Pacific Focus";journal;"12254657, 19765118";0,195;Q3;12;20;61;1351;47;61;0,80;67,55;United States;Northern America;"Wiley-Blackwell";"1986-2021";"Political Science and International Relations (Q3); Sociology and Political Science (Q3)"
811;19177;"History of Political Thought";journal;"0143781X";0,194;Q3;24;28;77;144;22;77;0,30;5,14;United Kingdom;Western Europe;"Imprint Academic";"1984, 1987, 1996-2021";"History (Q2); Philosophy (Q2); Sociology and Political Science (Q3)"
812;21100244213;"Mind and Matter";journal;"16118812, 20513003";0,194;Q3;18;5;33;192;12;25;0,41;38,40;United Kingdom;Western Europe;"Imprint Academic";"2003-2021";"Philosophy (Q2); Sociology and Political Science (Q3); Neuroscience (miscellaneous) (Q4)"
813;17700154915;"Multitudes";journal;"17775841, 02920107";0,194;Q3;13;101;262;940;34;242;0,14;9,31;France;Western Europe;"Association Multitudes";"2000-2021";"Philosophy (Q2); Sociology and Political Science (Q3)"
814;21081;"Contributions to Political Economy";journal;"14643588, 02775921";0,193;Q3;20;6;16;294;11;16;0,67;49,00;United Kingdom;Western Europe;"Oxford University Press";"1982-2003, 2005-2021";"Sociology and Political Science (Q3); Economics and Econometrics (Q4)"
815;5700166475;"European Journal of East Asian Studies";journal;"15700615, 15680584";0,193;Q3;12;16;44;763;19;38;0,28;47,69;Netherlands;Western Europe;"Brill Academic Publishers";"2001, 2007-2021";"Cultural Studies (Q2); History (Q2); Geography, Planning and Development (Q3); Political Science and International Relations (Q3); Social Sciences (miscellaneous) (Q3); Sociology and Political Science (Q3); Development (Q4)"
816;21100836108;"Knowledge Cultures";journal;"23756527, 23275731";0,193;Q3;12;22;81;875;70;77;1,07;39,77;United States;Northern America;"Addleton Academic Publishers";"2013-2021";"Literature and Literary Theory (Q1); Cultural Studies (Q2); History (Q2); Philosophy (Q2); Law (Q3); Library and Information Sciences (Q3); Sociology and Political Science (Q3); Education (Q4)"
817;21100873079;"Asian Journal of Comparative Politics";journal;"20578911, 2057892X";0,192;Q3;7;56;88;3262;63;83;0,82;58,25;United Kingdom;Western Europe;"SAGE Publications Ltd";"2016-2021";"Political Science and International Relations (Q3); Sociology and Political Science (Q3)"
818;21100827151;"Foundation Review";journal;"19445660, 19445679";0,192;Q3;13;27;107;503;20;92;0,23;18,63;United States;Northern America;"Dorothy A. Johnson Center for Philanthropy, Grand Valley State University";"2009-2013, 2015-2021";"Social Sciences (miscellaneous) (Q3); Sociology and Political Science (Q3)"
819;4000152133;"Journal of Public Deliberation";journal;"19372841";0,192;Q3;22;0;18;0;22;18;0,00;0,00;United States;Northern America;"Walter de Gruyter GmbH";"2006-2011, 2017-2018";"Sociology and Political Science (Q3)"
820;15690;"Journal of Sociology and Social Welfare";journal;"01915096";0,192;Q3;29;12;91;683;51;91;0,55;56,92;United States;Northern America;"Western Michigan University";"1977, 1995, 2005-2021";"Social Sciences (miscellaneous) (Q3); Sociology and Political Science (Q3)"
821;11600153439;"North Korean Review";journal;"15512789, 19412886";0,192;Q3;7;1;21;118;11;18;0,52;118,00;United States;Northern America;"McFarland and Company, Inc";"2010-2017, 2019-2021";"Cultural Studies (Q2); History (Q2); Economics, Econometrics and Finance (miscellaneous) (Q3); Political Science and International Relations (Q3); Sociology and Political Science (Q3)"
822;21100901047;"Pedagogia Social";journal;"19899742, 11391723";0,192;Q3;4;38;75;1618;35;70;0,40;42,58;Spain;Western Europe;"";"2018-2021";"Sociology and Political Science (Q3); Education (Q4)"
823;16843;"Rassegna Italiana di Sociologia";journal;"04860349";0,192;Q3;13;26;109;1621;41;94;0,33;62,35;Italy;Western Europe;"Sociologia Editrice il Mulino";"1979, 1997-2021";"Sociology and Political Science (Q3)"
824;14615;"Social Work and Social Sciences Review";journal;"17466105, 09535225";0,192;Q3;10;18;40;724;17;36;0,32;40,22;United Kingdom;Western Europe;"Whiting and Birch";"1997-1998, 2000, 2005, 2007-2008, 2010-2015, 2017-2021";"Sociology and Political Science (Q3); Health (social science) (Q4); Social Work (Q4)"
825;21100812618;"Comunicazione Politica";journal;"19725094, 15946061";0,191;Q3;4;36;92;796;30;90;0,43;22,11;Italy;Western Europe;"Il Mulino publishing house";"2016-2021";"Communication (Q3); Sociology and Political Science (Q3)"
826;19700170839;"Journal of Human Rights Practice";journal;"17579619, 17579627";0,190;Q3;21;2;110;64;77;109;0,78;32,00;United Kingdom;Western Europe;"Oxford University Press";"2009-2021";"History (Q2); Law (Q3); Political Science and International Relations (Q3); Sociology and Political Science (Q3)"
827;21100868416;"Laboratorium: Russian Review of Social Research";journal;"20781938, 20768214";0,190;Q3;4;31;63;1124;35;61;0,62;36,26;Russian Federation;Eastern Europe;"Centre for Independent Social Research";"2018-2021";"Cultural Studies (Q2); Anthropology (Q3); Gender Studies (Q3); Social Sciences (miscellaneous) (Q3); Sociology and Political Science (Q3)"
828;19700190300;"WSEAS Transactions on Power Systems";journal;"17905060, 2224350X";0,190;Q3;15;36;102;914;68;102;0,82;25,39;Greece;Western Europe;"World Scientific and Engineering Academy and Society";"2010-2014, 2018-2021";"Cultural Studies (Q2); Anthropology (Q3); Industrial and Manufacturing Engineering (Q3); Sociology and Political Science (Q3); Urban Studies (Q3); Electrical and Electronic Engineering (Q4); Energy (miscellaneous) (Q4)"
829;5600152973;"Analisis Politico";journal;"01214705";0,189;Q3;8;17;92;822;55;90;0,62;48,35;Colombia;Latin America;"Universidad Nacional de Colombia";"1996, 2007-2012, 2014-2021";"History (Q2); Political Science and International Relations (Q3); Sociology and Political Science (Q3)"
830;21100838844;"Eastern Journal of European Studies";journal;"20686633, 2068651X";0,189;Q3;7;44;93;2007;64;93;0,65;45,61;Romania;Eastern Europe;"Universitatea Alexandru Ioan Cuza";"2017-2021";"History (Q2); Economics, Econometrics and Finance (miscellaneous) (Q3); Political Science and International Relations (Q3); Sociology and Political Science (Q3)"
831;27696;"Journal of Southern African Studies";journal;"03057070, 14653893";0,189;Q3;50;53;203;0;129;181;0,71;0,00;United Kingdom;Western Europe;"Routledge";"1974-2021";"Arts and Humanities (miscellaneous) (Q3); Geography, Planning and Development (Q3); Sociology and Political Science (Q3)"
832;21100786380;"Perspectives on Federalism";journal;"20365438";0,189;Q3;3;0;40;0;25;40;0,00;0,00;Germany;Western Europe;"Walter de Gruyter";"2016-2018";"Law (Q3); Political Science and International Relations (Q3); Sociology and Political Science (Q3)"
833;24328;"Revista de Indias";journal;"00348341, 19883188";0,189;Q3;14;17;73;1063;24;73;0,32;62,53;Spain;Western Europe;"CSIC Consejo Superior de Investigaciones Cientificas";"1980, 1983, 1985-1987, 1996-2021";"Cultural Studies (Q2); History (Q2); Sociology and Political Science (Q3)"
834;14403;"Victorian Studies";journal;"15272052, 00425222";0,189;Q3;23;12;86;541;36;70;0,40;45,08;United States;Northern America;"Indiana University Press";"1969-1972, 1976-1978, 1980-1982, 1984-1986, 1988, 1990-1992, 1995, 1999, 2001-2020";"Literature and Literary Theory (Q1); Visual Arts and Performing Arts (Q1); Cultural Studies (Q2); History (Q2); Philosophy (Q2); Sociology and Political Science (Q3)"
835;22888;"Political Science";journal;"00323187, 20410611";0,188;Q3;17;6;43;422;18;40;0,52;70,33;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1948-1949, 1951-1956, 1960, 1962-1965, 1967-1974, 1976-2021";"Sociology and Political Science (Q3)"
836;12365;"Canadian Journal of Law and Society";journal;"08293201, 19110227";0,187;Q3;23;29;73;1332;32;70;0,38;45,93;United Kingdom;Western Europe;"Cambridge University Press";"1986-2021";"Law (Q3); Sociology and Political Science (Q3)"
837;5600152877;"Rethinking Marxism";journal;"08935696";0,186;Q3;27;42;102;1126;25;83;0,31;26,81;United Kingdom;Western Europe;"Routledge";"1988-1996, 1998-2021";"Sociology and Political Science (Q3)"
838;21101039805;"Sriwijaya Law Review";journal;"25416464, 25415298";0,186;Q3;4;22;56;694;10;56;0,13;31,55;Indonesia;Asiatic Region;"Sriwijaya University";"2017-2021";"Law (Q3); Social Sciences (miscellaneous) (Q3); Sociology and Political Science (Q3)"
839;70577;"Asian and African Studies";journal;"13351257";0,185;Q3;4;19;36;669;8;35;0,25;35,21;Slovakia;Eastern Europe;"Institute of Oriental Studies of the Slovak Academy of Sciences";"1987, 2008-2021";"Cultural Studies (Q2); Arts and Humanities (miscellaneous) (Q3); Sociology and Political Science (Q3)"
840;21100780829;"Ekonomicheskaya Sotsiologiya";journal;"17263247";0,185;Q3;6;28;98;1660;44;90;0,47;59,29;Russian Federation;Eastern Europe;"National Research University Higher School of Economics";"2016-2021";"Sociology and Political Science (Q3); Economics and Econometrics (Q4)"
841;27456;"Peace Review";journal;"14699982, 10402659";0,185;Q3;15;51;193;591;66;188;0,26;11,59;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1989-1996, 2005-2020";"Arts and Humanities (miscellaneous) (Q3); Safety Research (Q3); Social Sciences (miscellaneous) (Q3); Sociology and Political Science (Q3); Safety, Risk, Reliability and Quality (Q4); Transportation (Q4)"
842;20500195092;"International Journal of Sustainable Society";journal;"17562546, 17562538";0,184;Q3;16;13;58;796;40;55;0,68;61,23;United Kingdom;Western Europe;"Inderscience Enterprises Ltd.";"2008-2021";"Geography, Planning and Development (Q3); Sociology and Political Science (Q3); Environmental Science (miscellaneous) (Q4); Management, Monitoring, Policy and Law (Q4)"
843;16957;"Analise Social";journal;"00032573";0,183;Q3;16;21;94;1027;48;91;0,29;48,90;Portugal;Western Europe;"Instituto de Ciencias Sociais da Universidade de Lisboa";"1977-1978, 1981-1984, 1990, 1993-1994, 1996-2021";"Political Science and International Relations (Q3); Sociology and Political Science (Q3)"
844;21100842804;"Sociologia Urbana e Rurale";journal;"03924939, 19718403";0,183;Q3;4;19;104;813;22;98;0,18;42,79;Italy;Western Europe;"FrancoAngeli Edizioni";"2017-2020";"Demography (Q3); Geography, Planning and Development (Q3); Sociology and Political Science (Q3); Urban Studies (Q3); Nature and Landscape Conservation (Q4)"
845;21100825849;"Archivio di Studi Urbani e Regionali";journal;"00040177, 19718519";0,182;Q3;4;46;79;1817;53;79;0,87;39,50;Italy;Western Europe;"FrancoAngeli Edizioni";"2017-2021";"Sociology and Political Science (Q3); Urban Studies (Q3)"
846;20500195077;"Historia Constitucional";journal;"15764729";0,182;Q3;6;38;106;2834;22;101;0,23;74,58;Spain;Western Europe;"Universidad de Oviedo";"2011-2020";"History (Q2); Law (Q3); Political Science and International Relations (Q3); Sociology and Political Science (Q3)"
847;21100223327;"Calitatea Vietii";journal;"10180389";0,181;Q3;6;25;55;965;14;49;0,24;38,60;Romania;Eastern Europe;"Editura Academiei Romane";"2012-2021";"Sociology and Political Science (Q3); Health (social science) (Q4); Life-span and Life-course Studies (Q4)"
848;17653;"Comparative Sociology";journal;"15691322, 15691330";0,181;Q3;27;30;102;1995;39;101;0,30;66,50;Netherlands;Western Europe;"Brill Academic Publishers";"1970, 1976-1977, 1981, 1984, 1987, 1989, 1999-2021";"Sociology and Political Science (Q3)"
849;5600154152;"Modernism/Modernity";journal;"10716068";0,181;Q3;22;24;97;1449;26;97;0,06;60,38;United States;Northern America;"Johns Hopkins University Press";"1999, 2002-2021";"Literature and Literary Theory (Q1); Visual Arts and Performing Arts (Q1); Cultural Studies (Q2); History (Q2); Music (Q2); Sociology and Political Science (Q3)"
850;21101038706;"African Conflict and Peacebuilding Review";journal;"21567263, 2156695X";0,180;Q3;1;5;1;299;1;1;1,00;59,80;United States;Northern America;"Indiana University Press";"2020";"Cultural Studies (Q2); Anthropology (Q3); Sociology and Political Science (Q3)"
851;21100872361;"American Political Thought";journal;"21611599, 21611580";0,180;Q3;4;16;69;1025;15;65;0,11;64,06;United States;Northern America;"University of Chicago Press";"2015-2021";"Political Science and International Relations (Q3); Sociology and Political Science (Q3)"
852;21100786959;"Austrian Journal of Political Science";journal;"23135433";0,180;Q3;8;7;32;292;20;30;0,88;41,71;Germany;Western Europe;"Osterreichischen Gesellschaft fur Politikwissenschaft";"2015-2021";"Sociology and Political Science (Q3)"
853;21100218321;"Ayer";journal;"11342277";0,180;Q3;9;53;134;223;38;123;0,28;4,21;Spain;Western Europe;"Marcial Pons";"2012-2014, 2017-2021";"Cultural Studies (Q2); History (Q2); Sociology and Political Science (Q3)"
854;21100421902;"Iberoamerican Journal of Development Studies";journal;"22542035";0,180;Q3;6;24;55;1296;27;55;0,55;54,00;Spain;Western Europe;"Universidad de Zaragoza";"2012-2020";"History (Q2); Law (Q3); Sociology and Political Science (Q3); Development (Q4); Geography, Planning and Development (Q4)"
855;5600156595;"Historical Research";journal;"14682281, 09503471";0,179;Q3;23;43;120;4155;28;118;0,23;96,63;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1923-2021";"Cultural Studies (Q2); History (Q2); Sociology and Political Science (Q3)"
856;21100814520;"Latin American Policy";journal;"20417373, 20417365";0,179;Q3;7;35;57;1915;33;50;0,55;54,71;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"2016-2021";"Political Science and International Relations (Q3); Sociology and Political Science (Q3)"
857;5600155086;"Rhetoric and Public Affairs";journal;"10948392";0,179;Q3;14;26;60;1453;33;58;0,63;55,88;United States;Northern America;"Michigan State University";"2010-2021";"Linguistics and Language (Q2); Communication (Q3); Sociology and Political Science (Q3)"
858;21100316466;"Ab Imperio";journal;"21649731, 21664072";0,177;Q3;11;19;123;416;25;110;0,12;21,89;United States;Northern America;"";"2013-2021";"History (Q2); Sociology and Political Science (Q3)"
859;19800188063;"China Journal of Social Work";journal;"17525098, 17525101";0,177;Q3;11;26;62;1143;26;51;0,45;43,96;United Kingdom;Western Europe;"Routledge";"2010-2021";"Sociology and Political Science (Q3); Health (social science) (Q4); Social Work (Q4)"
860;14529;"Eire-Ireland; a journal of Irish studies";journal;"00132683, 15505162";0,177;Q3;14;24;64;1907;14;60;0,27;79,46;United States;Northern America;"Irish American Cultural Institute";"1976-1977, 1979-1980, 1982, 1987, 2000-2021";"Cultural Studies (Q2); Arts and Humanities (miscellaneous) (Q3); Sociology and Political Science (Q3)"
861;21100885611;"European Journal of Comparative Law and Governance";journal;"22134506, 22134514";0,177;Q3;6;16;43;903;26;36;0,62;56,44;Netherlands;Western Europe;"Brill Academic Publishers";"2014-2021";"Law (Q3); Sociology and Political Science (Q3); Public Administration (Q4)"
862;21100855500;"Journal of Population and Social Studies";journal;"24654418";0,177;Q3;5;40;76;1818;53;76;0,60;45,45;Thailand;Asiatic Region;"Mahidol University, Institute for Population and Social Research";"2017-2022";"Anthropology (Q3); Demography (Q3); Social Sciences (miscellaneous) (Q3); Sociology and Political Science (Q3); Geography, Planning and Development (Q4); Health (social science) (Q4)"
863;21100899527;"Australian Feminist Law Journal";journal;"22040064, 13200968";0,176;Q3;3;12;45;0;25;39;0,52;0,00;Australia;Pacific Region;"Taylor and Francis Ltd.";"2018-2021";"Literature and Literary Theory (Q1); Gender Studies (Q3); Law (Q3); Sociology and Political Science (Q3); Psychology (miscellaneous) (Q4)"
864;21100828130;"Cosmopolitan Civil Societies";journal;"18375391";0,176;Q3;8;16;37;804;34;36;1,21;50,25;Australia;Pacific Region;"UTS ePress";"2017-2021";"Cultural Studies (Q2); Anthropology (Q3); Demography (Q3); Law (Q3); Sociology and Political Science (Q3)"
865;5600156553;"Journal of Pacific History";journal;"00223344";0,176;Q3;19;27;82;0;46;72;0,68;0,00;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1966-2021";"Cultural Studies (Q2); History (Q2); Sociology and Political Science (Q3)"
866;15675;"Journal of Social History";journal;"15271897, 00224529";0,176;Q3;37;31;120;3240;60;119;0,51;104,52;United States;Northern America;"Oxford University Press";"1967-2021";"History (Q2); Sociology and Political Science (Q3)"
867;5700164339;"Lua Nova";journal;"01026445";0,176;Q3;15;28;95;1357;30;93;0,18;48,46;Brazil;Latin America;"Cedec";"2006-2021";"Sociology and Political Science (Q3)"
868;23425;"Politicka Misao";journal;"18468721, 00323241";0,176;Q3;7;27;77;1526;35;77;0,32;56,52;Croatia;Eastern Europe;"Fakultet politickih Znanosti";"1985, 2015-2021";"History (Q2); Political Science and International Relations (Q3); Sociology and Political Science (Q3)"
869;21100861121;"Politique Europeenne";journal;"16236297, 21052875";0,176;Q3;4;29;89;1556;23;81;0,27;53,66;France;Western Europe;"Institut francais des relations internationales (IFRI)";"2017-2018, 2020-2021";"Political Science and International Relations (Q3); Sociology and Political Science (Q3)"
870;4400151741;"Research on Economic Inequality";book series;"10492585";0,176;Q3;17;12;29;404;7;8;0,35;33,67;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2003-2004, 2006-2013, 2015-2020";"Sociology and Political Science (Q3); Organizational Behavior and Human Resource Management (Q4)"
